Gene,BC01_02,BC01_03,BC01_04,BC01_05,BC01_06,BC01_08,BC01_10,BC01_12,BC01_33,BC01_34
MAN2B2,1.579152178,1.420035611,0,0,0,0,0.058294735,0.130953333,0.641585147,0.23118746
SLC7A14,0,0,0,0,0,0,0,0,0,0
CLDN11,0,0,0,0,0,0,0,0,0,0
SLC25A39,5.538457036,5.538080046,4.179683974,5.032668355,5.581761899,4.798682666,2.420783771,5.445482942,4.972992791,5.219585051
MVP,0,2.49158018,0,2.964989563,0.148586544,0,3.706427336,0,0,0
NUB1,4.38224243,5.385827947,3.689912846,3.433817077,4.646643224,3.405225039,4.693999305,4.033818114,4.993400185,5.502480481
PGM3,1.388955277,4.216294313,5.331474293,0,4.293839114,3.321197178,4.477446846,5.126922364,5.491590599,4.987662916
RWDD2A,2.969595608,0,3.07691213,3.328531213,0,3.847898522,4.599704308,1.817565576,2.296056698,0
CLK1,5.223972794,4.804058894,5.21607762,5.163891401,6.282199429,5.165397532,4.846763414,4.645227727,0.866771517,5.225681491
POLR3B,1.986692099,0,3.680624338,0,1.206816425,0.819224493,0.292785382,0,0,2.330531558
ANGEL1,0.888019861,1.350022263,0,0,0,0.086095757,0,0,2.862808059,1.790397145
RNF14,2.793209053,4.782620492,5.850417791,1.516665143,4.916056266,2.730187353,0,0.086127318,0.12215237,5.555957349
DNASE1L1,0,0,0,0,0,0,0,0,0,0
DDX11,0,3.138566824,0,0,0,0,0.131084296,0,0,0
HEBP1,4.176139719,4.319691148,0,2.478284619,4.297386727,4.394579068,4.772153379,0.223021521,4.856299311,1.46584979
GPRC5A,0,0.165381697,0,0.058221253,3.669597613,1.91017699,0.55981132,0.371374192,3.374647575,1.493188629
MAMLD1,0,1.217262822,0,0,0,0,1.454302627,0,0,0.254724732
CD6,0,0.939476878,0,0,0,0,0,0,0,0
TACC3,0,2.33329763,0,0,0,0,0,0,0,0
UFL1,1.267104578,2.91694729,2.364175916,0,3.340840547,0,1.02274304,1.143806902,0.992894545,3.547960293
POLA2,0,4.173068513,0,0,0,0,0,0.524479397,0,0
ZC3H3,0,0.657100626,0.131095477,1.427275834,0.519282426,1.046674638,0,0,0.086130857,0
CAPN1,3.407390739,3.89402405,1.41869213,4.005778735,4.212871955,0,1.416198642,0,0.512596017,2.598575025
ACPP,0,0,0,0,0,0,0,0,0,0
MDH1,4.118438806,5.769544757,5.015104466,3.104678644,5.351209131,4.816227549,5.616570862,3.36256015,6.02338989,5.321275413
SLC30A9,2.510612716,2.295784116,0.425457317,3.992407555,2.801458934,1.957832603,3.00908217,5.861999359,4.210382706,3.166670096
MTMR11,0,0,0,0,0.190829904,0,2.675262818,2.464145551,2.316962201,0.4188359
COX15,2.367634113,3.070473319,3.906339883,4.20907317,4.317611555,3.689160645,3.852719501,0.104299552,0.343424742,3.910781365
CCDC88C,1.160170945,0,0,1.943758849,1.026816003,0.095219963,2.972896489,0.858309965,0,0.32940673
YAF2,0,0.81044669,0,4.687389252,2.151665101,0.553462996,5.172300298,3.371865553,0,3.616665889
ZMYND11,3.508168898,3.481011549,2.023346015,0.672532034,1.855752286,2.463795575,3.635131371,0,0.067621537,1.55209805
WAS,0,0,0,0,0,0,0,0,0,0
BID,3.822968286,4.484850044,3.783814872,4.416802982,4.783759625,1.626480133,0,5.299408668,0,0.65769686
MATR3,5.786716384,5.046487958,5.543610887,5.465447735,5.011967355,4.66170064,5.083347293,5.3968762,3.57095112,5.133040746
NPC1L1,0,0,0,0,2.722422855,0,4.003042555,0,0,0
XYLT2,2.311741705,0,0,2.853375001,0,1.973226148,4.19161803,3.20175438,3.508604084,3.681708937
RGPD5,3.550116951,4.195592375,5.363900386,3.254205135,3.085810086,2.13683475,3.584517861,1.003914904,0.113267905,4.890036438
NUDCD3,2.731971028,2.923412527,3.810082279,3.182648555,5.048487637,3.104982719,4.915164429,0.587515465,2.345131525,3.085466048
CHDH,2.032277734,2.665028397,1.38169155,3.127270124,1.247892444,2.69234929,3.622114693,3.020332035,2.575897498,2.974346023
IL20RA,1.184941689,3.713454216,0,3.523482168,3.379094382,1.884711239,2.514884735,4.478776801,0,3.54824819
GLT8D1,0.524817755,4.481802839,0.626193041,2.067392056,0,2.645252413,4.031497797,0,0.182227009,0
ATP2C1,0,2.054645952,0.131095477,3.107809819,0.732994671,3.536511062,0.246959886,0.883409474,0.148341759,3.350609024
SRCIN1,0,0,0,0.095233642,0,1.149893491,0,0,0,0.058289685
IGF1,0,0,0,0,0,0,0,0,0,0
SLC38A5,0,0,0,0,0,0,0,0,0,0
MAGIX,0,0,0,0,0,1.642071972,0,0,0,0
RALBP1,2.883889075,3.621625273,0.615437086,2.946269088,1.73087698,1.969051354,2.80014583,2.028933088,3.540408353,4.530270737
RUFY3,3.223874169,0.238831894,2.951253483,0,5.046815275,1.950756427,0,0.173855889,4.235718844,0
CNTN1,0,0,0,0,0,0,0,0,0,0
SLC11A1,0,0,0,0,0,0,0,0,0,0
WWTR1,0.095330048,0.299878976,0.292808481,0.858176345,3.463774978,1.010969225,0.693375298,3.582369894,0.625674483,0.609933128
AGPS,1.815007681,2.623136328,2.285930469,0,2.797194222,1.898273847,1.885940322,0.411903564,0,1.157132797
CXorf56,1.74938038,0.378162245,2.516585265,3.281603231,0,0.712443782,0,0,0.879294809,0
ATP1A2,0,0,0,0,0,0,0,0,0,0
TTC27,0,1.667000611,0.157083273,1.734495469,1.624309686,0.787915939,2.524547001,0,2.606598717,0
ZNF582,0,0,0,0,0,0,0,0,0,0
VSIG2,0,0,0,0,0,0,0,0,0,0
PHLDB1,0,0,0,0,0,2.828153037,0,0,0,3.695716298
MARCO,0,0,0,0,0,0,0,0,0,0
CYP24A1,0,0,0,0,0,0,0,0,0,0
PRDM11,0,0,0,0,0,0,0,0,0,0
SYT13,0,0,0,0,0,0,1.539373755,0,0.048763151,0
SNAI2,0,0,0,0,0,0,0,0,0,0
CD74,0,0.53613202,0,0,0.703707055,4.15759323,0,0.609487002,1.807814391,0
HGF,0,0,0,0,0,0,0,0,0,0
ZRANB1,0.157035503,1.091344988,0.793292143,0.927710047,2.788609844,3.185813969,1.970298226,1.286032353,0,0.07698823
NCDN,0,0,0,1.98851629,0,0.284932693,1.982773189,0.450854088,0,2.054443682
GPR124,0,0,0,0,0,0,0,0,0,0
ZFP64,0,0,0,0.198699031,0,0,0,3.598634623,0,0.239094934
MNAT1,2.591718544,1.884814978,0,0.702672309,2.062839929,1.334269603,1.87679328,0,2.815473887,3.1475162
SAMD4A,1.800240681,0,2.738120782,3.400049845,3.294031478,3.774087103,1.763394951,0.336297903,1.347653139,2.408179568
RUNX3,0,1.496712705,0,0,0,0,0,0,0,0
MRE11A,1.166421392,0.630864396,3.32087621,3.120678386,0,0,0.565510823,0,0.095258609,0
PLEKHB1,0,0,0,0,0,0,1.468225438,0,0,3.258449417
SERPINB1,3.500952945,1.880252837,4.192463807,0,3.899309217,0,5.517947408,4.451648891,3.831991672,5.116380599
SLC7A9,0,0,0,0,0,0,0,0,0,0
SPAST,1.938928746,1.540475025,0,1.174991114,0,0,1.037031325,2.909597333,0,1.051060313
NRXN3,0,0,0,0,0,0,0,0,0,0
OSBPL5,0,0,0,0,0,0,0,0,0,0
AQR,1.363700016,1.574156245,0.139833331,0.765017428,0.307804282,3.171252217,0,0,0,1.526343526
CPS1,0,0,0,0,4.620563791,0,0,0,0,0
FHL1,0,0,0,0,0,0,0,0,0,0
RTFDC1,3.65294687,3.885442213,3.630457991,2.865398614,0,5.618541694,4.675707725,4.997416575,5.305522498,2.241037645
NLRP2,2.367634113,3.304948616,3.564414653,4.802365705,2.934999492,0,0.131084296,0.371374192,3.091863502,0
SLC45A4,1.996248771,0,0,0,2.356269887,1.501081077,3.15017672,0,0,0
RNF10,5.337947845,4.363766681,4.081290553,2.068655345,1.079206053,1.548905952,6.156162206,4.943889537,0.206908091,4.758083426
ZNF839,0,0,0.693420811,0,0,0,0,0,0,0
ZDHHC6,2.509800024,3.215236315,2.412834124,0.262169964,1.001395158,0.741417414,0,1.067752547,5.588068168,4.658695246
GRAMD1B,0,0.765002312,1.389202,0,0,0,0,0,0,0
RNH1,3.731193919,2.71056534,4.911063411,0.947273691,2.875832657,4.297529815,4.331972689,0,4.589291823,0
NDUFS1,4.759137438,4.183023283,4.671125387,3.931783904,4.658863087,4.426616369,4.223626935,1.373259819,3.231049591,3.407202883
RB1CC1,2.632810824,3.183863903,4.760149038,3.979602532,4.123309069,2.273294977,3.135495684,4.50629205,3.661725922,3.351660747
ERP44,0.336534678,2.835330765,1.726781508,2.192022019,0,3.801237481,2.922517369,1.811051542,1.68408326,2.275543176
ALAS1,0.39884799,1.7943614,5.276565021,3.624320821,5.453183819,2.952405542,2.427870003,2.733796848,3.048732518,4.306991416
BIRC3,0,0.076896584,0.086222888,0,0.756762375,0,2.738682725,4.227836892,3.372592819,3.986376862
AKAP11,0.131055102,0,0.854729706,0.774273143,1.81093614,0.039182546,1.29505839,0.019790664,1.628784402,1.730185997
GLRX2,0,0.530269895,2.074907461,0,0,4.47385217,3.301816431,0,2.393736645,0
SNAPC1,0.662793863,1.117828966,0,0,3.083978482,0.139632499,0,0,0,0
DERA,0,4.701797191,0,2.938893196,3.175453115,0,4.653554676,4.555165947,3.774961351,5.123852482
STRAP,4.3269938,4.313959012,5.917367529,4.413056566,4.007426504,4.494038702,4.33341788,5.17610769,5.876777716,5.060234467
ABCC2,0,0,2.019369578,2.149854578,0,0,0,0,0,0
DEF6,0,0,0,0,0,0,0,0,0,0
PLEKHO1,0,0.398489927,0,0,0,0,0,0,0,0
GCLM,4.014974666,2.026075811,4.29291512,2.064860679,3.817132759,2.466343132,3.784635452,1.743465226,4.46235426,2.558340774
UBR2,0,0.039187246,3.57484185,1.410350221,3.312070685,4.074525514,3.9162629,4.081334542,0,3.045823901
EHD2,0,0,0.231224657,0,0,0,0.122270125,0,0.148341759,0
DEPDC1,1.615595069,3.481318996,0,0,0,0,0,0.156915096,2.37252903,0
CCDC28A,1.04746085,0.814879575,1.42833203,0.530281531,0,0.614729596,4.473346124,0,4.398077456,1.238634862
RRAGD,3.780303874,2.862522277,4.091878095,0.765017428,4.323334695,1.104592862,3.85038129,0.058234373,0,3.546807875
HSF2,0.85454087,0,3.763825443,2.778650255,0,0,0,4.985053179,0.206908091,2.361186376
PHF20,1.719368144,2.494058318,4.28605539,0,2.816543274,0.411774434,2.796489418,2.986112028,4.816487715,4.770709465
HSD17B6,0,0,0,0,0,0,0,0,0,0
NR1H3,0,0,0,0,0,1.516547604,0,0,0,0
TYMP,0,0,0,0,0,0,0,0,0,0.215182421
NCAPH2,0.863016282,3.211619801,0,0,0,0.927619013,2.449696269,0,0.139687949,0
TOMM34,2.365757901,1.003750052,0,1.153155113,0,3.203824367,0,0,4.813570857,4.497502345
SEC63,4.293957263,4.720934232,2.558507017,5.081002041,5.132517475,4.489675107,1.353592833,3.276934746,3.06331719,3.564239561
KPNA6,4.191837724,3.134661564,4.370367792,3.182648555,5.001648922,3.677861372,4.927054175,3.570628276,3.325567548,2.83532194
VIM,0,1.58445315,0.239133256,0.592950017,0.231360857,0.536081262,0,0,0,0.239094934
RTEL1-TNFRSF6B,0,0,0,0,0,0,0,0,0,0
FAS,0.797627293,4.370358924,0,0,0.165698617,0,0,0.246726606,0.104303799,0
RNASET2,4.09038406,4.316895837,0,3.182648555,0,0,0.884035243,0.887532153,0,1.329993926
CD44,4.498580276,5.020710461,0.262490565,4.200274476,5.143506352,4.696400898,4.041743509,6.296757935,6.170612304,5.952907827
KCNG1,0,0,0,0,0,0,0,0,0,0
AGPAT4,0,0,0,0,0,0,0,0,0,0
SLAMF7,0,0,0,0,0,0,0,0,0,0
BTN3A1,0,0,0,0,2.34000749,0,3.350344268,0,4.015465404,0
MIPEP,0,0,0.470208859,0,0,0,2.406458858,0.652032796,0.215001581,2.74825522
PRKCH,0.314869763,3.213228755,3.282565044,0,4.118271176,0.609312445,0,0,0,2.405475556
IFNGR1,0.662793863,2.211885149,3.173565567,1.843010278,5.238280422,5.28018343,0.215199689,2.338365589,5.516204791,5.779286725
B4GALT7,0,0,3.790164178,0,1.639969279,0,0,0,0,0
SH2D2A,0,0,0,0,0,0,0,0,0,0
VRK2,3.115943902,2.731603702,0,3.219266525,2.769962785,0,2.993161075,3.970447553,4.060402477,3.443334177
TNFRSF1B,0,0,0,0,0,0,0,0,0,0
VEZT,0,0.122117523,3.747918471,3.995537399,3.218032258,4.037151565,4.593751581,4.737521456,4.721145632,4.809046293
POU2F2,0,0,0,0,0.086277393,0,0,0,0,0
BRD9,0.713061219,0,0,0,0,1.729067341,0.530816116,0,0,0
SNX1,3.40606447,3.604650995,4.225619571,0.350407831,4.117130066,3.923571075,4.987410237,0.832564215,0,2.931007688
TBPL1,0,0,2.291004328,1.77425291,0,4.613642354,0,5.343543396,3.737591781,1.43298015
ARNTL2,0,0.314575712,1.026392692,0,0,0,0,0,0,0
BCLAF1,4.509425916,5.590641964,5.441966359,5.500745882,6.511403796,3.494028577,3.481374495,4.586300292,4.739488206,4.726423243
SLC39A9,4.814512699,2.865940914,4.049361691,4.272217974,3.989242112,2.768528275,4.342565933,4.85858649,4.853964145,5.323180039
ANK1,0,0,0,0,0,0,0,0,0,0
TFB1M,0,1.751952488,0,0,0,0.692650889,2.106970907,5.178194718,1.514684547,0
RABEP1,3.331343221,2.361008516,3.234881036,2.367609482,0.798170559,0.35036332,4.057437068,4.899470347,1.9525407,4.751450881
HMGB3,4.518302221,2.528122466,3.212577754,4.888083636,3.483332441,3.691156107,2.889134504,0.067618734,4.559088189,3.445888486
NUP160,3.13003498,3.983861371,0,3.211646934,4.589421974,0,4.673000341,0,3.694556683,0
BAK1,2.924979982,0,0,0,0,0,0,0,0,0
IKZF2,0,0,0,0,0,0,0,0,0,0
GRN,3.324526998,4.723689156,0,3.659144883,0,2.918991306,4.608717027,2.039389865,5.813027347,4.837042734
FAM13B,1.166421392,4.082090683,2.925291007,2.944167236,1.806013089,2.485661735,3.052074524,1.561863979,0,0
ARHGAP31,0,0,0.392219586,0,0,0,0,0,0,0
NR2E3,0,0,0,0,0,0,0,0,0,0
CENPQ,0,0,0,0,3.575202567,0,0,0,0,0
SARS,5.007513457,5.858977578,5.306631576,5.573859273,5.010099178,5.957382749,5.851190758,4.801118038,6.807732723,5.28493848
RANBP3,3.163149476,1.993948279,0,0,1.622334881,3.496453482,0.139821456,0,0,0
ARID4A,3.45178519,2.084909755,0,0.667419137,0.963920664,3.671274232,0,0.095254713,4.786595663,4.361037615
TSSC1,3.370261665,3.743227702,0,2.406178772,0,3.09100341,1.740842341,2.244410346,3.586848568,2.342137516
PNPLA6,1.178806289,2.064835992,0,0.774273143,3.483639813,0,0,0,1.809452241,0.10439639
IFT88,3.485137425,0,0.113387327,3.08705174,0,2.266068015,4.829965557,0,0,4.136327362
ALG1,0.58231207,0,0.322234204,0.887395702,0,0,0,0,0,3.194935086
ZCCHC8,0,1.693068623,1.923254939,0,5.409851874,2.410535751,0,2.416250393,0,0
ABCF2,3.05562351,3.455789037,4.39412501,4.146424294,4.678314238,2.901581579,1.229963369,0.482192621,3.464561033,4.741200585
CHPF2,1.004440095,0,0,0.424976058,0.775378006,0,0.642069999,0,1.380856996,0
LRRC7,0,0,0,2.535299405,0,0,0,0,1.437030034,0
FUT8,0,2.447620294,0,0.329067506,0,1.165587506,2.910605727,1.039882106,0,0.94023091
UBA6,2.300779722,3.133791654,1.322157139,3.690555103,2.990860309,3.208680514,3.529740193,3.243567139,2.946529473,3.407202883
GAB2,0,0,0,0,0,0.307221988,0,0,0,1.150822897
ATP6V0A1,4.700878708,0,1.754856221,3.179743487,0,0,2.305991313,0,0,0.850361103
PIAS1,4.208037321,0,1.408958398,0,0.182522787,3.642915234,4.342305718,2.138350602,3.385873875,1.366365038
SLC4A7,0.955645928,3.498689077,2.412834124,0.54197181,0.182522787,0.206828593,1.098916434,0.438038415,1.007597624,3.300624925
APBA2,0,0,0,0,0,0,0,0,0,0
UHRF1,0.122242775,4.799297796,0,0,0,0,0,0,0,0
MAP2K3,2.477578563,1.060687289,0,2.768669412,4.780824214,0,2.562288682,0.223021521,1.732956745,1.366365038
TMSB10,3.936929881,3.580169544,2.326795383,5.479425122,6.670487575,4.001437324,5.839176065,6.754600385,5.039371416,5.127419251
ASTE1,0.182357981,0,0,3.989452843,0,0,0,0,1.487960276,0.457559581
RNF19A,4.099215275,3.720739184,4.268557241,3.837552361,4.264292119,4.301192028,4.002128721,2.353675998,4.249363469,4.076032058
PEX3,2.406242625,4.249492565,0,0,1.239231367,2.655131829,4.6485857,0,4.533864451,5.288985642
GABARAPL2,5.227146123,4.692501654,5.554589336,4.839327671,5.221177629,5.31315356,3.23911675,4.972465797,5.873802948,4.598005214
SH3YL1,5.010785695,3.534300228,0.322234204,2.304822363,5.048294814,3.85130126,2.933224371,3.785636543,4.308896148,0
FAM136A,4.497578326,3.407662259,2.811722584,4.426765156,2.400809132,0.206828593,0,6.105968412,3.27357536,3.714905251
VCL,1.587366145,3.694012652,3.935298984,1.050273953,4.210051865,3.880179001,2.157962777,2.848395939,3.117407598,0.322184568
DEPDC1B,0,4.321152246,0,0,0,0,0,0,0,0
DAPK2,0,3.039398646,0,0,0,0,0,0,0,0
NSMAF,0,0,0,0,0,0,0.944184604,0.238887182,0,0
ADSS,1.363700016,0.862386838,0,1.531896595,0.68369432,3.66923866,1.650948496,1.175151432,0,0.571139215
STAP1,0,0,0,0,0,0,0,0,0,0
TIMP2,1.004440095,3.197838148,0,2.120321999,2.721764692,0.992626773,3.430873925,3.389883685,4.544540265,2.934736128
RFC1,4.485475952,3.488364327,0,1.953722149,1.831993663,3.45661618,4.884011942,0.598561576,4.414054269,0
TBC1D23,1.815007681,3.783338911,4.335212955,4.236459767,5.318683396,3.507293373,3.770674672,4.934946573,4.367240702,3.559412013
CUL3,3.837513276,2.812192394,3.755435634,1.557479748,0,3.225890581,0,0.173855889,1.395817751,3.561970676
MYOM2,2.537067628,0,0,0,0,0,0,0,0,0
CYP46A1,0,0,0,1.09471291,1.407008121,0.058212737,0,0,0,0
ZZZ3,2.403533766,0.067601722,3.495825294,4.311979568,4.681102116,3.262129263,4.972763204,0.431568457,0,4.445011942
USP2,2.174945417,1.060687289,0,2.430210169,2.419688144,0.230906932,3.322954596,0,3.243998277,2.216264263
