Ligand	Receptor	Mediator	TF	Target	Path_ID	Path_Rank	Path_Length	Path_Cost	Path_P	Path_Q	Receptor_P	Receptor_Q	Receptor_Significant	Edge_Types	Edge_Sources	Direction_Status
AURKB,BUB1,CDK1	TERF1	SULT1E1	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000110	1	2	0.8840423603118681	0.469061876247505	1.0	0.6686626746506986	0.7641859138865127	False	negative_linear;negative_linear	prior+data;prior+data	known
AURKB,BUB1,CDK1	TERF1	SULT1E1	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	B_cell_to_Malignant_P000111	1	2	0.8843451877689867	0.4471057884231537	1.0	0.6686626746506986	0.7641859138865127	False	negative_linear;negative_linear	prior+data;prior+data	known
AURKB,BUB1,CDK1	TERF1	SULT1E1,AGR2,RPL23,CLU,FGFR1,CALML5,FTH1	SERPINB5	VEGFA	B_cell_to_Malignant_P000112	1	8	3.5707815516281305	0.7465069860279441	1.0	0.6686626746506986	0.7641859138865127	False	negative_linear;negative_linear;negative_linear;positive_linear;positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,CLU,FGFR1	EDN1	CXADR	B_cell_to_Malignant_P000113	1	4	1.8533603417267897	0.6786427145708582	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,APOD	ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	B_cell_to_Malignant_P000114	1	3	1.3603391021548865	0.8502994011976048	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,CLU,FGFR1,PLEKHA5	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000115	1	5	2.400530336522659	0.8383233532934131	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,CLU,FGFR1,PLEKHA5,EGLN3,HSD17B4	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	B_cell_to_Malignant_P000116	1	7	3.5910785204229545	0.9800399201596807	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear;positive_linear;negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,CLU,FGFR1,CALML5,FTH1	SERPINB5	VEGFA	B_cell_to_Malignant_P000117	1	6	2.818530546201223	0.9201596806387226	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TLR1	TNFSF13	SELENBP1,CLU,FGFR1,PLEKHA5,EGLN3,HSD17B4,SULT1E1	TERF1	RFX2	B_cell_to_Malignant_P000118	1	8	3.9898723119643615	0.9800399201596807	1.0	0.8502994011976048	0.9261477045908184	False	positive_linear;positive_linear;positive_linear;positive_linear;negative_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	FGFR4,PLEKHA5,FGFR1	EDN1	CXADR	B_cell_to_Malignant_P000119	1	4	1.8923906819470842	0.7924151696606786	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	S100A8	ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	B_cell_to_Malignant_P000120	1	2	0.9304007175465994	0.6347305389221557	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;negative_linear	prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	FGFR4,PLEKHA5	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000121	1	3	1.3212925906729616	0.4431137724550898	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	FGFR4,PLEKHA5,EGLN3,HSD17B4	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	B_cell_to_Malignant_P000122	1	5	2.5118407745732574	0.9421157684630739	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;positive_linear;negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	S100A8,CASP14,CALML5,FTH1	SERPINB5	VEGFA	B_cell_to_Malignant_P000123	1	5	2.52477726194474	0.9680638722554891	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data	known
PTPN6,PTTG1	VEGFA	FGFR4,PLEKHA5,EGLN3,HSD17B4,SULT1E1	TERF1	RFX2	B_cell_to_Malignant_P000124	1	6	2.9106345661146644	0.8902195608782435	1.0	0.6347305389221557	0.7641859138865127	False	positive_linear;positive_linear;negative_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
