Ligand	Receptor	Score
RSPO4	ZNRF3	1
RSPO4	LGR4_LRP6	1
RSPO4	LGR4_LRP5	1
RSPO4	LGR5_LRP6	1
RSPO4	RNF43	1
RSPO1	RNF43	2
COL28A1	ITGA10_ITGB1	1
COL28A1	ITGA1_ITGB1	1
COL28A1	ITGA11_ITGB1	1
COL28A1	ITGA2_ITGB1	1
ERFE	LRP1	2
GDF6	ACVR2B_BMPR1B	1
GDF6	ACVR2A_BMPR1B	1
GDF6	ACVR2A_BMPR1A	1
GDF6	ACVR2B_BMPR1A	1
VSTM1	LAMP1	2
VSTM1	ADGRG3	2
ADM2	DCLK3	1
GDF7	ACVR2B_BMPR1B	1
GDF7	ACVR2A_BMPR1B	1
GDF7	ACVR2A_BMPR1A	1
GDF7	ACVR2B_BMPR1A	1
BMP8A	ACVR2B_BMPR1B	1
BMP8A	ACVR2A_BMPR1B	1
BMP8A	ACVR2A_BMPR1A	1
BMP8A	ACVR2B_BMPR1A	1
IFNL1	IFNLR1_IL10RB	1
COL27A1	ITGA10_ITGB1	1
COL27A1	ITGA1_ITGB1	1
COL27A1	ITGA11_ITGB1	1
COL27A1	ITGA2_ITGB1	1
IFNL3	IFNL3_IFNLR1_IL10RB	1
IFNL3	IFNLR1_IL10RB	1
IFNL2	IFNLR1_IL10RB	1
DEFB106B	CCR2	1
PCSK9	CD36	1
PCSK9	LRP8	1
PCSK9	CD81	1
COL22A1	ITGA10_ITGB1	1
COL22A1	ITGA1_ITGB1	1
COL22A1	ITGA11_ITGB1	1
COL22A1	ITGA2_ITGB1	1
CCL4L1	GPR101	2
CCL4L1	GPR151	2
CCL4L1	FFAR2	2
CCL4L1	ACKR2	1
CCL4L1	VSIR	2
CCL4L1	GPR152	2
CCL4L1	GPR42	2
IL1F10	IL1RAP_IL1RL2	1
FAM3C	PDCD1	2
FAM3C	ADGRG5	2
FAM3C	KIR2DL3	2
FAM3C	FFAR2	2
FAM3C	CLEC2D	2
FAM3C	GPR42	2
TSLP	CRLF2_IL7R_TSLP	1
TSLP	CRLF2_IL7R	1
COL26A1	ITGA10_ITGB1	1
COL26A1	ITGA1_ITGB1	1
COL26A1	ITGA11_ITGB1	1
COL26A1	ITGA2_ITGB1	1
COL21A1	ITGA10_ITGB1	1
COL21A1	ITGA1_ITGB1	1
COL21A1	ITGA11_ITGB1	1
COL21A1	ITGA2_ITGB1	1
NODAL	ACVR1B_ACVR2B	1
NODAL	ACVR1C_ACVR2A	1
NODAL	ACVR1B_ACVR2A	1
NODAL	ACVR1C_ACVR2B	1
NODAL	ACVR1B_ACVR2B_TDGF1	1
GPHA2	ADGRV1	2
COL12A1	ITGA10_ITGB1	1
COL12A1	ITGA1_ITGB1	1
COL12A1	ITGA11_ITGB1	1
COL12A1	ITGA2_ITGB1	1
NRTN	GFRA1_RET	1
RARRES2	CMKLR2	2
SEMA3C	NRP1_NRP2_PLXND1	1
RSPO3	ZNRF3	1
RSPO3	RNF43	1
PDGFD	PDGFRA_PDGFRB	1
IL22	IL22_IL22RA1	1
IL22	IL10RB_IL22RA1	1
IL22	IL20RA	2
IL22	IL20RB_IL22RA1	1
WNT5B	FZD1_LRP5	1
WNT5B	FZD2_LRP5	1
WNT5B	FZD10_LRP6	1
WNT5B	FZD7_LRP5	1
WNT5B	FZD8_LRP5	1
WNT5B	FZD9_LRP6	1
WNT5B	FZD6_LRP5	1
WNT5B	FZD2_LRP6	1
WNT5B	FZD3_LRP5	1
WNT5B	FZD5_LRP6	1
WNT5B	FZD3_LRP6	1
WNT5B	FZD1_LRP6	1
WNT5B	FZD6_LRP6	1
WNT5B	FZD7_LRP6	1
WNT5B	FZD10_LRP5	1
WNT5B	FZD9_LRP5	1
WNT5B	FZD5_LRP5	1
WNT5B	FZD8_LRP6	1
IL21	IL4R	1
CRLF2	CRLF2_IL7R_TSLP	1
IL23A	LILRA1	1
IL23A	GP6	1
IL23A	SIGLEC6	1
IL23A	LILRB2	1
IL26	IL10RB_IL20RA	1
GDF3	ACVR1B_ACVR2B	1
GDF3	ACVR1C_ACVR2A	1
GDF3	ACVR1B_ACVR2A	1
GDF3	ACVR1C_ACVR2B	1
SEMA3G	LILRA3	1
SEMA3G	GP6	1
SEMA3G	FCGR2A	1
IL20	IL20RB_IL22RA1	1
IL37	IL18R1_SIGIRR	1
IL36B	IL1RAP_IL1RL2	1
IL36G	IFNAR2	2
IL36G	IFNAR1	2
IL36G	IL1RAP_IL1RL2	1
COL20A1	ITGA10_ITGB1	1
COL20A1	ITGA1_ITGB1	1
COL20A1	ITGA11_ITGB1	1
COL20A1	ITGA2_ITGB1	1
CLCF1	SORL1	1
CLCF1	CNTFR_IL6ST_LIFR	1
IL36RN	IL1RAP_IL1RL2	1
IL36A	IL1RAP_IL1RL2	1
GDF2	ACVR2B_ACVRL1	1
GDF2	ACVR2A_ACVRL1	1
COL17A1	ITGA10_ITGB1	1
COL17A1	ITGA1_ITGB1	1
COL17A1	ITGA11_ITGB1	1
COL17A1	ITGA2_ITGB1	1
CD72	CD5	1
CNTF	CRLF1	2
CNTF	IL6ST_LIFR	1
CNTF	CNTFR_IL6ST	1
COL8A1	ITGA1_ITGB1	1
COL8A1	ITGA11_ITGB1	1
COL8A1	ITGA10_ITGB1	1
COL8A1	ITGA2_ITGB1	1
COL7A1	ITGA1_ITGB1	1
COL7A1	ITGA11_ITGB1	1
COL7A1	ITGA10_ITGB1	1
COL7A1	ITGA2_ITGB1	1
COL5A3	ITGA10_ITGB1	1
COL5A3	ITGA11_ITGB1	1
COL5A3	ITGA1_ITGB1	1
COL5A3	ITGA2_ITGB1	1
COL5A2	ITGA10_ITGB1	1
COL5A2	ITGA11_ITGB1	1
COL5A2	ITGA1_ITGB1	1
COL5A2	ITGA2_ITGB1	1
COL5A1	ITGA10_ITGB1	1
COL5A1	ITGA11_ITGB1	1
COL5A1	ITGA1_ITGB1	1
COL5A1	ITGA2_ITGB1	1
COL3A1	ITGA10_ITGB1	1
COL3A1	ITGA11_ITGB1	1
COL3A1	ITGA1_ITGB1	1
COL3A1	ITGA2_ITGB1	1
COL18A1	ITGA10_ITGB1	1
COL18A1	ITGA11_ITGB1	1
COL18A1	ITGA1_ITGB1	1
COL18A1	ITGA2_ITGB1	1
COL14A1	ITGA10_ITGB1	1
COL14A1	ITGA11_ITGB1	1
COL14A1	ITGA1_ITGB1	1
COL14A1	ITGA2_ITGB1	1
COL11A1	ITGA10_ITGB1	1
COL11A1	ITGA11_ITGB1	1
COL11A1	ITGA1_ITGB1	1
COL11A1	ITGA2_ITGB1	1
CNTN6	PTPRG	1
LTF	BOC	1
LTF	IGDCC4	1
LTF	TREML2	1
LTF	TNFRSF11B	1
LTF	IL1RL1	1
LTF	BTN3A3	1
LTF	BTN3A2	1
LTF	AGER	1
TIMP3	DDR1	1
FGB	CDH5	1
F8	LRP4	1
F8	LRP2	1
C4A	CD46	2
MBL2	C1QB	1
MBL2	LRP1	1
GPC3	TNFRSF11B	1
GPC3	FLT1	1
GPC3	VSIG10L	1
GPC3	UNC5D	1
GPC3	UNC5C	1
ALB	B2M_FCGRT	1
LCN2	FCGR2A	1
S100A10	HTR1B	1
PTPN6	EGFR	2
F12	GP9	2
F12	GP5	2
F12	GP1BB	1
ENTPD1	ADORA3	2
TPSAB1	F2RL1	1
IL12B	BOC	1
PSG9	AXL	1
PSG9	DCC	1
PSG9	DSCAM	1
MXRA5	MAG	1
MXRA5	PILRA	1
MXRA5	SIGLEC7	1
MXRA5	CD69	1
MXRA5	MPIG6B	1
MXRA5	PILRB	1
MXRA5	SIGLEC8	1
MXRA5	ILDR1	1
MXRA5	SCN2B	1
MXRA5	MFAP3L	1
MXRA5	AXL	1
MXRA5	AGER	1
PAM	FAP	1
PAM	DPP4	1
PSG4	TNFSF8	1
PSG4	DSCAM	1
HAPLN1	IGDCC4	1
HAPLN1	PRTG	1
HAPLN1	MPIG6B	1
HAPLN1	TREML2	1
HAPLN1	TNFRSF11B	1
HAPLN1	ADGRA2	1
HAPLN1	IL1RL1	1
HAPLN1	AGER	1
ADO	ADORA2B	1
ADO	ADORA3	1
ADO	ADORA2A	1
ADO	ADORA1	1
FSTL5	LILRA1	1
FSTL5	GP6	1
FSTL5	CEACAM19	1
FSTL5	CNTN5	1
FSTL5	IL6R	1
FSTL5	CHL1	1
FSTL5	SDK2	1
FSTL5	SIGLEC6	1
FSTL5	LILRB2	1
APOO	IL1RAPL2	1
IGSF10	MAG	1
IGSF10	CD200R1L	1
IGSF10	SLAMF9	1
IGSF10	MILR1	1
BTN1A1	NEGR1	1
BTN1A1	TARM1	1
CNMD	PTPRD	1
WFIKKN2	IGDCC3	1
WFIKKN2	IGDCC4	1
WFIKKN2	PRTG	1
NR0B2	FGFRL1	1
SPARC	FGFR1	1
SPARC	ENG	1
SLC6A8	LIFR	1
F11	GP5	1
F11	GP9	1
F11	GP1BB	1
PSG6	DSCAM	1
IL11RA	CD40	1
IMPG2	PRLR	1
IGFBPL1	DCC	1
RARRES1	NRP2	1
BPI	SLAMF9	1
IGSF1	ACVR1B	1
FRS3	FGFR1	1
SOCS2	EPOR	2
PI16	TNFRSF21	1
PI16	MFAP3L	1
PSG5	TNFRSF12A	1
PSG5	PDGFRA	1
PSG7	DCC	1
PSG7	CLEC4A	1
PSG7	DSCAM	1
ETV5	ERBB2	1
SCEL	ENG	1
SNX14	HTR6	1
IGFBP7	MPIG6B	1
TPSB2	F2RL1	1
TREML4	SIGLEC8	1
SCUBE2	KDR	1
DBP	ACKR1	1
MAML2	NOTCH1	2
MAML2	NOTCH2	2
MAML2	NOTCH4	2
MAML2	NOTCH3	2
Glu	GRM4	1
Glu	GRIK4	1
Glu	GRIK1	1
Glu	GRM6	1
Glu	GRIN2D	1
Glu	GRIN3A	1
Glu	GRM7	1
Glu	GRM5	1
Glu	GRM1	1
Glu	GRM3	1
Glu	GRIN1	1
Glu	GRIA4	1
Glu	GRIA3	1
Glu	GRIN2A	1
Glu	GRIK5	1
Glu	GRIA2	1
Glu	GRIN3B	1
Glu	GRIK3	1
Glu	GRM8	1
Glu	GRIK2	1
Glu	GRM2	1
Glu	GRIN2B	1
Glu	GRIA1	1
Glu	GRIN2C	1
NRXN1	NLGN4X	2
NRXN1	NLGN4Y	1
NRXN2	NLGN4X	2
NRXN2	NLGN4Y	1
NRXN3	NLGN4X	2
NRXN3	NLGN4Y	1
GABA	GABRA2	1
GABA	GABRA3	1
GABA	GABRB3	1
GABA	GABBR1	1
GABA	GABRG2	1
GABA	GABBR2	1
GABA	GABRA1	1
GABA	GABRA6	1
GABA	GABRB2	1
GABA	GABRA4	1
GABA	GABRG1	1
GABA	GABRG3	1
GABA	GABRA5	1
GABA	GABRB1	1
GJA1	GJA1	1
GJA3	GJA3	1
GJA4	GJA4	1
GJA5	GJA5	1
GJA8	GJA8	1
GJA10	GJA10	1
GJB1	GJB1	1
GJB2	GJB2	1
GJB3	GJB3	1
GJB4	GJB4	1
GJB5	GJB5	1
GJB6	GJB6	1
GJC1	GJC1	1
GJC2	GJC2	1
GJC3	GJC3	1
GJD2	GJD2	1
GJD3	GJD3	1
GJD4	GJD4	1
GJE1	GJE1	1
Ach	CHRND	1
Ach	CHRM2	1
Ach	CHRNB4	1
Ach	CHRNG	1
Ach	CHRNA6	1
Ach	CHRNA1	1
Ach	CHRNE	1
Ach	CHRNB2	1
Ach	CHRM4	1
Ach	CHRNB3	1
Ach	ACHE	1
Ach	CHRNA3	1
Ach	CHRNA4	1
Ach	CHRNA10	1
Ach	CHRM3	1
Ach	CHRNB1	1
Ach	CHRNA5	1
Ach	CHRM1	1
Ach	CHRM5	1
Ach	CHRNA7	1
Ach	CHRNA9	1
Ach	CHRNA2	1
Gly	GLRA1	1
Gly	GLRA3	1
Gly	SLC6A9	1
Gly	SLC6A5	1
Gly	GLRA2	1
Gly	GLRA4	1
Gly	GLRB	1
5HT	HTR1E	1
5HT	HTR7	1
5HT	HTR2B	1
5HT	HTR3D	1
5HT	HTR3A	1
5HT	HTR3E	1
5HT	SLC6A4	1
5HT	HTR1B	1
5HT	HTR2C	1
5HT	HTR1A	1
5HT	HTR4	1
5HT	HTR1F	1
5HT	HTR1D	1
5HT	HTR3B	1
5HT	HTR6	1
5HT	HTR3C	1
5HT	HTR2A	1
5HT	HTR5A	1
DA	DRD2	1
DA	DRD4	1
DA	DRD3	1
DA	SLC6A3	1
DA	DRD1	1
DA	COMT	1
DA	DRD5	1
Epi	ADRB3	1
Epi	ADRA1B	1
Epi	ADRA1A	1
Epi	ADRA1D	1
Epi	ADRA2B	1
Epi	ADRB2	1
Epi	ADRA2A	1
Epi	ADRB1	1
Epi	ADRA2C	1
NE	ADRB3	1
NE	ADRA1B	1
NE	ADRA1A	1
NE	ADRA1D	1
NE	ADRA2B	1
NE	ADRB2	1
NE	ADRA2A	1
NE	ADRB1	1
NE	SLC6A2	1
NE	COMT	1
NE	ADRA2C	1
CO	GUCY1A1	1
CO	GUCY1B1	1
CO	GUCY1B2	1
CO	GUCY1A2	1
NO	GUCY1A1	1
NO	GUCY1B1	1
NO	GUCY1B2	1
NO	GUCY1A2	1
1	CXCL1	1
2	CXCL2	1
3	CXCL3	1
4	CXCL5	1
5	PPBP	1
6	CXCL6	1
7	CXCL8	1
8	CXCL6	1
9	CXCL8	1
10	CXCL9	1
11	CXCL10	1
12	CXCL11	1
13	CXCL12	1
14	CXCL13	1
15	CXCL16	1
16	XCL1	1
17	XCL2	1
18	CX3CL1	1
19	CCL20	1
20	CCL25	1
21	CCL17	1
22	CCL22	1
23	CCL19	1
24	CCL21	1
25	CCL2	1
26	CCL4L1	1
27	CCL3L3	1
28	CCL13	1
29	CCL13	1
30	CCL7	1
31	CCL7	1
32	CCL5	1
33	CCL5	1
34	CCL5	1
35	CCL14	1
36	CCL16	1
37	CCL23	1
38	CCL15	1
39	CCL15	1
40	CCL8	1
41	CCL11	1
42	CCL24	1
43	CCL26	1
44	CCL28	1
45	CCL28	1
46	CCL27	1
47	IL6	1
48	IL6	1
49	IL11	1
50	IL11	1
51	OSM	1
52	OSM	1
53	OSM	1
54	LIF	1
55	LIF	1
56	CNTF	1
57	CNTF	1
58	CNTF	1
59	CLCF1	1
60	CLCF1	1
61	CLCF1	1
62	CTF1	1
63	CTF1	1
64	CSF3	1
65	LEP	1
66	IL4	1
67	IL4	1
68	IL13	1
69	IL13	1
70	IL12A	1
71	IL12A	1
72	IL23A	1
73	IL23A	1
74	CSF2	1
75	CSF2	1
76	IL3	1
77	IL3	1
78	IL5	1
79	IL5	1
80	IL2	1
81	IL2	1
82	IL2	1
83	IL4	1
84	IL7	1
85	IL7	1
86	IL9	1
87	IL9	1
88	IL15	1
89	IL15	1
90	IL15	1
91	IL21	1
92	IL21	1
93	TSLP	1
94	TSLP	1
95	EPO	1
96	GH1	1
97	GH2	1
98	PRL	1
99	THPO	1
100	PDGFC	1
101	PDGFA	1
102	PDGFA	1
103	PDGFB	1
104	PDGFB	1
105	PLEKHO2	1
106	VEGFB	1
107	VEGFA	1
108	VEGFA	1
109	VEGFD	1
110	VEGFD	1
111	HGF	1
112	EGF	1
113	CSF1	1
114	KITLG	1
115	FLT3LG	1
116	IFNA1	1
117	IFNA1	1
118	IFNB1	1
119	IFNB1	1
120	IFNW1	1
121	IFNW1	1
122	IFNK	1
123	IFNK	1
124	IFNE	1
125	IFNE	1
126	IFNG	1
127	IFNG	1
128	IL10	1
129	IL10	1
130	IL19	1
131	IL20	1
132	IL20	1
133	IL24	1
134	IL24	1
135	IL22	1
136	IL22	1
137	IL22	1
138	IFNL2	1
139	IFNL2	1
140	IFNL3	1
141	IFNL3	1
142	IFNL1	1
143	IFNL1	1
144	TNFSF10	1
145	TNFSF10	1
146	TNFSF10	1
147	TNFSF10	1
148	TNFSF10	1
149	TNFSF11	1
150	TNFSF11	1
151	TNFSF12	1
152	TNF	1
153	TNF	1
154	LTA	1
155	LTA	1
156	LTA	1
157	LTA	1
158	LTB	1
159	TNFSF14	1
160	TNFSF14	1
161	TNFSF14	1
162	FASLG	1
163	FASLG	1
164	CD40LG	1
165	CD70	1
166	TNFSF8	1
167	TNFSF9	1
168	TNFSF4	1
169	TNFSF18	1
170	TNFSF13	1
171	TNFSF13	1
172	TNFSF13B	1
173	TNFSF13B	1
174	TNFSF13B	1
175	EDA	1
176	EDA	1
177	TGFB1	1
178	TGFB1	1
179	TGFB2	1
180	TGFB2	1
181	TGFB3	1
182	TGFB3	1
183	INHBA	1
184	INHBA	1
185	INHBA	1
186	INHBA	1
187	INHBB	1
188	INHBB	1
189	INHBB	1
190	INHBB	1
191	INHBC	1
192	INHBC	1
193	INHBC	1
194	INHBC	1
195	INHBE	1
196	INHBE	1
197	INHBE	1
198	INHBE	1
199	AMH	1
200	AMH	1
201	BMP2	1
202	BMP2	1
203	BMP2	1
204	BMP2	1
205	BMP7	1
206	BMP7	1
207	GDF5	1
208	GDF5	1
209	IL1A	1
210	IL1A	1
211	IL1A	1
212	IL1B	1
213	IL1B	1
214	IL1B	1
215	IL18	1
216	IL18	1
217	CXCL11	1
218	CXCL12	1
219	CCL1	1
220	IL25	1
221	IL25	1
222	IL17A	1
223	IL17A	1
224	IL17F	1
225	IL17F	1
226	IL17C	1
227	IL17C	1
228	IL17B	1
229	CD58	1
230	CD80	1
231	CD80	1
232	CD86	1
233	CD86	1
234	HLA-DMA	1
235	HLA-A	1
236	CD274	1
237	PDCD1LG2	1
238	CD40LG	1
239	ITGB2	1
240	ITGAL	1
241	ITGB2	1
242	ITGAL	1
243	ICAM1	1
244	ICAM1	1
245	CD28	1
246	ITGAM	1
247	ITGB1	1
248	ITGA4	1
249	ITGA9	1
250	SELPLG	1
251	SELPLG	1
252	PECAM1	1
253	PVR	1
254	NECTIN2	1
255	CDH2	1
256	NRXN3	1
257	CNTN1	1
258	NCAM1	1
259	L1CAM	1
260	NECTIN1	1
261	CDH1	1
262	CDH4	1
263	ALCAM	1
264	PTPRC	1
265	CD40	1
266	CLDN24	1
267	OCLN	1
268	F11R	1
269	JAM2	1
270	JAM3	1
271	JAM2	1
272	JAM3	1
273	ESAM	1
274	CDH5	1
275	CD99	1
276	JAM3	1
277	JAM3	1
278	SELP	1
279	ICAM2	1
280	ICAM2	1
281	F11R	1
282	F11R	1
283	ICAM3	1
284	ICAM3	1
285	ICAM2	1
286	JAM2	1
287	JAM2	1
288	VCAM1	1
289	VCAM1	1
290	MADCAM1	1
291	MADCAM1	1
292	SELL	1
293	CD34	1
294	SELE	1
295	NECTIN3	1
296	L1CAM	1
297	CADM1	1
298	NEGR1	1
299	CADM3	1
300	PTPRM	1
301	CNTN2	1
302	CNTN2	1
303	NFASC	1
304	NFASC	1
305	CNTN2	1
306	MPZ	1
307	MAG	1
308	CLDN11	1
309	NECTIN2	1
310	CDH3	1
311	CDH15	1
312	CD80	1
313	PVR	1
314	NECTIN2	1
315	CD274	1
316	NECTIN3	1
317	F11R	1
318	F11R	1
319	LRRC4C	1
320	LRRC4	1
321	LRRC4B	1
322	CTSG	1
323	CGA	1
324	CGA	1
325	CGA	1
326	CSH1	1
327	LEP	1
328	PRL	1
329	COL1A1	1
330	COL1A1	1
331	LAMC3	1
332	LAMC3	1
333	COL1A1	1
334	LAMC3	1
335	CHAD	1
336	CHAD	1
337	LAMC3	1
338	RELN	1
339	RELN	1
340	COMP	1
341	COMP	1
342	COL1A1	1
343	FN1	1
344	FN1	1
345	FN1	1
346	SPP1	1
347	SPP1	1
348	FN1	1
349	LAMC3	1
350	LAMC3	1
351	FN1	1
352	VTN	1
353	VTN	1
354	TNC	1
355	TNC	1
356	TNC	1
357	SPP1	1
358	COL1A1	1
359	LAMC3	1
360	COL1A1	1
361	COL1A1	1
362	FN1	1
363	SPP1	1
364	VTN	1
365	FN1	1
366	VTN	1
367	FN1	1
368	VWF	1
369	VWF	1
370	SPP1	1
371	TNC	1
372	TNC	1
373	IBSP	1
374	IBSP	1
375	COMP	1
376	COMP	1
377	VTN	1
378	FN1	1
379	VWF	1
380	COMP	1
381	VTN	1
382	IBSP	1
383	SPP1	1
384	FN1	1
385	TNC	1
386	COL1A1	1
387	COL1A1	1
388	FN1	1
389	LAMC3	1
390	LAMC3	1
391	VTN	1
392	LAMC3	1
393	COL1A1	1
394	FN1	1
395	LAMC3	1
396	COL1A1	1
397	FN1	1
398	COMP	1
399	TNC	1
400	LAMC3	1
401	COMP	1
402	VWF	1
403	VWF	1
404	VWF	1
405	VWF	1
406	COL1A1	1
407	LAMC3	1
408	AGRN	1
409	HSPG2	1
410	COMP	1
411	C3	1
412	ADM2	1
413	CALCB	1
414	IAPP	1
415	CALCA	1
416	ADM	1
417	ADM	1
418	ADM	1
419	CORT	1
420	CORT	1
421	CORT	1
422	CORT	1
423	CORT	1
424	CORT	1
425	SST	1
426	SST	1
427	SST	1
428	SST	1
429	SST	1
430	CCL17	1
431	CCL22	1
432	RSPO1	1
433	RSPO1	1
434	RSPO1	1
435	RSPO4	1
436	RSPO4	1
437	RSPO4	1
438	RSPO3	1
439	RSPO3	1
440	RSPO3	1
441	RSPO2	1
442	RSPO2	1
443	RSPO2	1
444	CALM1	1
445	CALM1	1
446	CALM1	1
447	CALM1	1
448	CALM1	1
449	CALM1	1
450	CALM1	1
451	CALM3	1
452	CALM3	1
453	CALM3	1
454	CALM3	1
455	CALM3	1
456	CALM3	1
457	CALM3	1
458	CALM2	1
459	CALM2	1
460	CALM2	1
461	CALM2	1
462	CALM2	1
463	CALM2	1
464	CALM2	1
465	INSL3	1
466	RLN1	1
467	RLN1	1
468	RLN2	1
469	RLN2	1
470	RLN3	1
471	RLN3	1
472	RLN3	1
473	RLN3	1
474	INSL5	1
475	INSL5	1
476	RARRES2	1
477	RARRES2	1
478	QRFP	1
479	ALOX5AP	1
480	APLN	1
481	LHB	1
482	CGA	1
483	CGA	1
484	CGA	1
485	TSHB	1
486	FSHB	1
487	ANXA1	1
488	ANXA1	1
489	ANXA1	1
490	HEBP1	1
491	HEBP1	1
492	CAMP	1
493	SAA1	1
494	APP	1
495	CXCL2	1
496	CXCL5	1
497	PPBP	1
498	CXCL3	1
499	CXCL1	1
500	CXCL1	1
501	CXCL8	1
502	CXCL8	1
503	CXCL6	1
504	CXCL6	1
505	YARS	1
506	XCL2	1
507	XCL1	1
508	RPS19	1
509	C5	1
510	C5	1
511	CCL19	1
512	CCL19	1
513	CCL19	1
514	CCL19	1
515	CCL21	1
516	CCL21	1
517	CCL25	1
518	CCL25	1
519	DEFB4A	1
520	DEFB4B	1
521	CCL20	1
522	CCL20	1
523	CXCL12	1
524	CXCL12	1
525	CXCL12	1
526	CXCL11	1
527	CXCL11	1
528	CXCL11	1
529	CXCL9	1
530	CXCL9	1
531	CXCL10	1
532	CXCL10	1
533	CCL5	1
534	CCL5	1
535	CCL5	1
536	CCL5	1
537	CCL5	1
538	CCL8	1
539	CCL8	1
540	CCL8	1
541	CCL8	1
542	CCL8	1
543	CCL13	1
544	CCL13	1
545	CCL13	1
546	CCL13	1
547	CCL13	1
548	CCL7	1
549	CCL7	1
550	CCL7	1
551	CCL7	1
552	CCL7	1
553	CCL11	1
554	CCL11	1
555	CCL11	1
556	CCL11	1
557	CCL24	1
558	CCL24	1
559	CCL26	1
560	CCL26	1
561	CCL2	1
562	CCL2	1
563	CCL2	1
564	CCL16	1
565	CCL16	1
566	CCL16	1
567	CCL14	1
568	CCL14	1
569	CCL4	1
570	CCL4	1
571	CCL3	1
572	CCL3	1
573	CCL23	1
574	CCL15	1
575	CCL15	1
576	CCL28	1
577	CCL28	1
578	CCL27	1
579	CCL1	1
580	CSF3	1
581	CSF3	1
582	CSF1	1
583	CSF2	1
584	CSF2	1
585	ANGPT4	1
586	ANGPT1	1
587	CD70	1
588	CD40LG	1
589	EDA	1
590	EDA	1
591	EDN2	1
592	EDN1	1
593	EDN3	1
594	EPO	1
595	FASLG	1
596	FLT3LG	1
597	CXCL16	1
598	GALP	1
599	GALP	1
600	GALP	1
601	GAL	1
602	GAL	1
603	GAL	1
604	GAST	1
605	GAST	1
606	CCK	1
607	CCK	1
608	GCG	1
609	GCG	1
610	GCG	1
611	GH2	1
612	GH1	1
613	GHRL	1
614	GIP	1
615	GNRH2	1
616	GNRH1	1
617	HCRT	1
618	HCRT	1
619	CX3CL1	1
620	HGF	1
621	IGF2	1
622	IGF1	1
623	IGF1	1
624	IL3	1
625	IL5	1
626	INS	1
627	KISS1	1
628	KITLG	1
629	KNG1	1
630	KNG1	1
631	LEP	1
632	CXCL13	1
633	MLN	1
634	MST1	1
635	NDP	1
636	NMB	1
637	NMB	1
638	GRP	1
639	GRP	1
640	NMU	1
641	NMU	1
642	NMS	1
643	NMS	1
644	NPPC	1
645	NPS	1
646	NPW	1
647	NPW	1
648	NPB	1
649	NPB	1
650	NTF3	1
651	NTF3	1
652	NGF	1
653	NTF4	1
654	BDNF	1
655	NTS	1
656	NTS	1
657	COPA	1
658	OSTN	1
659	OXT	1
660	OXT	1
661	OXT	1
662	OXT	1
663	AVP	1
664	AVP	1
665	AVP	1
666	AVP	1
667	PMCH	1
668	PMCH	1
669	PNOC	1
670	ARF1	1
671	NPPB	1
672	NPPA	1
673	CSH2	1
674	CSHL1	1
675	PRL	1
676	CSH1	1
677	PROK2	1
678	PROK2	1
679	PROK1	1
680	PROK1	1
681	PROS1	1
682	PROS1	1
683	GAS6	1
684	GAS6	1
685	GAS6	1
686	PSAP	1
687	PSAP	1
688	PTH2	1
689	PTH2	1
690	PTHLH	1
691	PTHLH	1
692	PTHLH	1
693	PRLH	1
694	NPY	1
695	NPY	1
696	NPY	1
697	NPY	1
698	NPY	1
699	PYY	1
700	PYY	1
701	PYY	1
702	PYY	1
703	PPY	1
704	PPY	1
705	PPY	1
706	PPY	1
707	PPY	1
708	NPVF	1
709	NPVF	1
710	NPFF	1
711	NPFF	1
712	NPFF	1
713	AGT	1
714	AGT	1
715	AGT	1
716	TAC3	1
717	TAC3	1
718	TAC3	1
719	TAC4	1
720	TAC4	1
721	TAC4	1
722	TAC1	1
723	TAC1	1
724	TAC1	1
725	THPO	1
726	TNFSF10	1
727	TNFSF10	1
728	TNFSF11	1
729	TNFSF12	1
730	TNFSF13B	1
731	TNFSF13B	1
732	TNFSF13B	1
733	TNFSF13	1
734	TNFSF14	1
735	TNFSF14	1
736	BTLA	1
737	LTA	1
738	LTA	1
739	LTA	1
740	TNF	1
741	TNF	1
742	TNFSF15	1
743	TNFSF18	1
744	TNFSF4	1
745	TNFSF8	1
746	TNFSF9	1
747	TRH	1
748	NRG1	1
749	NRG1	1
750	NRG2	1
751	NRG2	1
752	NRG4	1
753	NRG3	1
754	BTC	1
755	BTC	1
756	HBEGF	1
757	HBEGF	1
758	EREG	1
759	EREG	1
760	EPGN	1
761	EGF	1
762	TGFA	1
763	AREG	1
764	CRH	1
765	CRH	1
766	CRH	1
767	UCN2	1
768	UCN2	1
769	UCN	1
770	UCN	1
771	UCN3	1
772	PENK	1
773	PENK	1
774	PENK	1
775	PENK	1
776	PDYN	1
777	PDYN	1
778	PDYN	1
779	POMC	1
780	POMC	1
781	POMC	1
782	POMC	1
783	POMC	1
784	POMC	1
785	POMC	1
786	POMC	1
787	ASIP	1
788	ASIP	1
789	ASIP	1
790	ASIP	1
791	AGRP	1
792	AGRP	1
793	AGRP	1
794	UTS2B	1
795	UTS2	1
796	VEGFB	1
797	VEGFA	1
798	VEGFA	1
799	PDGFC	1
800	PDGFC	1
801	VEGFC	1
802	VEGFC	1
803	SCT	1
804	SCT	1
805	SCT	1
806	SCT	1
807	VIP	1
808	VIP	1
809	VIP	1
810	VIP	1
811	ADCYAP1	1
812	ADCYAP1	1
813	ADCYAP1	1
814	GHRH	1
815	WNT4	1
816	WNT5A	1
